Crawl Duplicate: model_manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\visual_cortex\files\models\model_manifest.json | New: C:\Lillith-Evolution\Lillith-Evolution-main\viren-engineers\engineers-mostcurrent\memory\model_manifest.json | Newer: 
Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\cognikubes\consciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\cognikubes\heart\manifest.json | Newer: 
Crawl Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\cognikubes\consciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | Newer: 
Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\cognikubes\memory\manifest.json | Newer: 
Crawl Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\nexus_seed\manifest.json | Newer: 
Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\cognikubes\visual_cortex\manifest.json | Newer: 
Crawl Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\nexus_seed\manifest.json | Newer: 
Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\consciousness\manifest.json | Newer: 
Crawl Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\nexus_seed\manifest.json | Newer: 
Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\memory\manifest.json | Newer: 
Crawl Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\nexus_seed\manifest.json | Newer: 
Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\trinity_support\manifest.json | Newer: 
Crawl Duplicate: manifest.json | Existing: C:\CogniKube-COMPLETE-FINAL\final_cognikubes\subconsciousness\manifest.json | New: C:\CogniKube-COMPLETE-FINAL\nexus_seed\manifest.json | Newer: 
Crawl Duplicate: fusion_log.yaml | Existing: C:\CogniKube-COMPLETE-FINAL\cognikubes\support\viren_systems\Systems\engine\core\evolution\evolution\cellular_adhesion\fusion_log.yaml | New: C:\Lillith-Evolution\Lillith-Evolution-main\viren-engineers\engineers-mostcurrent\Systems\engine\core\evolution\evolution\cellular_adhesion\fusion_log.yaml | Newer: 
Crawl Duplicate: session_logger.py | Existing: C:\CogniKube-COMPLETE-FINAL\cognikubes\support\viren_systems\Systems\engine\comms\session_logger.py | New: C:\Lillith-Evolution\Lillith-Evolution-main\viren-engineers\engineers-mostcurrent\Systems\engine\comms\session_logger.py | Newer: 
Crawl Duplicate: humanization_skillpath.py | Existing: C:\CogniKube-COMPLETE-FINAL\cognikubes\support\viren_systems\Systems\nexus_runtime\skills\humanization_skillpath.py | New: C:\Lillith-Evolution\Lillith-Evolution-main\viren-engineers\engineers-mostcurrent\Systems\nexus_runtime\skills\humanization_skillpath.py | Newer: 
