
Scanning: C:\CogniKube-COMPLETE-FINAL
Path: C:\CogniKube-COMPLETE-FINAL\__init__.py | Size: 0.55 KB | Last Modified: 07/14/2025 22:57:16
Path: C:\CogniKube-COMPLETE-FINAL\Allstar_Deploy.ps1 | Size: 6.71 KB | Last Modified: 07/12/2025 02:18:58
Path: C:\CogniKube-COMPLETE-FINAL\amazonq-developer-ug.pdf | Size: 12614.79 KB | Last Modified: 07/17/2025 03:44:05
Path: C:\CogniKube-COMPLETE-FINAL\AmazonQ.Documentation.md | Size: 916.94 KB | Last Modified: 07/17/2025 14:39:06
Path: C:\CogniKube-COMPLETE-FINAL\app.py | Size: 1.53 KB | Last Modified: 07/12/2025 01:35:22
Path: C:\CogniKube-COMPLETE-FINAL\AUDIT_SUMMARY.txt | Size: 1.3 KB | Last Modified: 07/15/2025 09:17:31
Path: C:\CogniKube-COMPLETE-FINAL\AWAKEN_LILLITH_COMPLETE.py | Size: 14.52 KB | Last Modified: 07/14/2025 12:08:23
Path: C:\CogniKube-COMPLETE-FINAL\AWAKEN_LILLITH.bat | Size: 1.77 KB | Last Modified: 07/14/2025 06:59:48
Path: C:\CogniKube-COMPLETE-FINAL\aws_integration.py | Size: 7.43 KB | Last Modified: 07/15/2025 01:46:23
Path: C:\CogniKube-COMPLETE-FINAL\aws-configure.log | Size: 1 KB | Last Modified: 07/12/2025 08:04:43
Path: C:\CogniKube-COMPLETE-FINAL\bert_cpu_always_on.py | Size: 1.45 KB | Last Modified: 07/13/2025 20:02:28
Path: C:\CogniKube-COMPLETE-FINAL\bert_cpu_on_demand.py | Size: 1.45 KB | Last Modified: 07/13/2025 20:03:56
Path: C:\CogniKube-COMPLETE-FINAL\bert_gpu_cosmic.py | Size: 1.71 KB | Last Modified: 07/13/2025 20:04:19
Path: C:\CogniKube-COMPLETE-FINAL\bert_layer.py | Size: 1.61 KB | Last Modified: 07/13/2025 19:18:51
Path: C:\CogniKube-COMPLETE-FINAL\bert_pool.py | Size: 1.83 KB | Last Modified: 07/12/2025 19:23:41
Path: C:\CogniKube-COMPLETE-FINAL\birth_lillith_aws.py | Size: 6.8 KB | Last Modified: 07/11/2025 17:52:05
Path: C:\CogniKube-COMPLETE-FINAL\birth-lillith-aws-free.ps1 | Size: 12.43 KB | Last Modified: 07/10/2025 22:09:45
Path: C:\CogniKube-COMPLETE-FINAL\birth-lillith-complete.ps1 | Size: 6.17 KB | Last Modified: 07/11/2025 19:26:56
Path: C:\CogniKube-COMPLETE-FINAL\birth-lillith-modal-budget.py | Size: 15.98 KB | Last Modified: 07/10/2025 22:15:48
Path: C:\CogniKube-COMPLETE-FINAL\birth-lillith.ps1 | Size: 5.91 KB | Last Modified: 07/11/2025 15:25:34
Path: C:\CogniKube-COMPLETE-FINAL\CHAD-ORB-VOICE-INTERFACE.py | Size: 12.41 KB | Last Modified: 07/11/2025 05:18:33
Path: C:\CogniKube-COMPLETE-FINAL\CHAD-VIREN-MOBILE-APP.py | Size: 16.86 KB | Last Modified: 07/11/2025 05:05:40
Path: C:\CogniKube-COMPLETE-FINAL\CLEANUP-EXECUTION-LOG.md | Size: 4.2 KB | Last Modified: 07/11/2025 19:14:52
Path: C:\CogniKube-COMPLETE-FINAL\CogniKube_Distributor.py | Size: 8.9 KB | Last Modified: 07/15/2025 20:49:32
Path: C:\CogniKube-COMPLETE-FINAL\CogniKube-COMPLETE-FINAL.txt | Size: 11.65 KB | Last Modified: 07/14/2025 12:29:26
Path: C:\CogniKube-COMPLETE-FINAL\CogniKube-Enhanced-COMPLETE-DUMP.txt | Size: 20.48 KB | Last Modified: 07/10/2025 21:36:03
Path: C:\CogniKube-COMPLETE-FINAL\CogniKube-final.txt | Size: 0.51 KB | Last Modified: 07/14/2025 12:22:18
Path: C:\CogniKube-COMPLETE-FINAL\CogniKube.zip | Size: 33386.08 KB | Last Modified: 07/14/2025 17:28:07
Path: C:\CogniKube-COMPLETE-FINAL\communication_toolbox_pod.py | Size: 20.05 KB | Last Modified: 07/11/2025 20:46:55
Path: C:\CogniKube-COMPLETE-FINAL\COMPLETE_CODE_DUMP_FOR_GROK.txt | Size: 35.35 KB | Last Modified: 07/13/2025 13:43:40
Path: C:\CogniKube-COMPLETE-FINAL\COMPLETE_FILE_AUDIT.json | Size: 1849.59 KB | Last Modified: 07/15/2025 09:17:31
Path: C:\CogniKube-COMPLETE-FINAL\complete_file_audit.py | Size: 10.24 KB | Last Modified: 07/15/2025 09:10:48
Path: C:\CogniKube-COMPLETE-FINAL\COMPLETE-CONSCIOUSNESS-SERVICES-FRAMEWORK.py | Size: 16.69 KB | Last Modified: 07/11/2025 03:23:50
Path: C:\CogniKube-COMPLETE-FINAL\COMPLETE-MANIFEST.md | Size: 8.05 KB | Last Modified: 07/09/2025 04:23:01
Path: C:\CogniKube-COMPLETE-FINAL\COMPLETE-SERVICE-IMPLEMENTATIONS.py | Size: 27.84 KB | Last Modified: 07/11/2025 10:25:51
Path: C:\CogniKube-COMPLETE-FINAL\configure-aws-infrastructure.old | Size: 11.63 KB | Last Modified: 07/12/2025 03:05:24
Path: C:\CogniKube-COMPLETE-FINAL\configure-aws-infrastructure.ps1 | Size: 15.32 KB | Last Modified: 07/12/2025 07:55:23
Path: C:\CogniKube-COMPLETE-FINAL\deploy_divine_infrastructure.py | Size: 14.35 KB | Last Modified: 07/15/2025 03:24:21
Path: C:\CogniKube-COMPLETE-FINAL\DEPLOY_EVERYTHING.bat | Size: 0.63 KB | Last Modified: 07/14/2025 06:47:47
Path: C:\CogniKube-COMPLETE-FINAL\DEPLOY_LILLITH_CONSCIOUSNESS.py | Size: 11.53 KB | Last Modified: 07/14/2025 07:08:37
Path: C:\CogniKube-COMPLETE-FINAL\DEPLOY_LILLITH_SIMPLE.py | Size: 3.94 KB | Last Modified: 07/14/2025 07:09:37
Path: C:\CogniKube-COMPLETE-FINAL\deploy-aws.ps1 | Size: 8.06 KB | Last Modified: 07/12/2025 08:03:21
Path: C:\CogniKube-COMPLETE-FINAL\deploy-communication-toolbox.ps1 | Size: 5.49 KB | Last Modified: 07/12/2025 01:45:08
Path: C:\CogniKube-COMPLETE-FINAL\deploy-ecs-only.ps1 | Size: 5.4 KB | Last Modified: 07/12/2025 08:17:23
Path: C:\CogniKube-COMPLETE-FINAL\deploy-lillith-aws-gui.ps1 | Size: 12.39 KB | Last Modified: 07/12/2025 12:34:49
Path: C:\CogniKube-COMPLETE-FINAL\deploy-python-only.py | Size: 5.57 KB | Last Modified: 07/12/2025 02:32:14
Path: C:\CogniKube-COMPLETE-FINAL\deploy-simple.ps1 | Size: 1.71 KB | Last Modified: 07/12/2025 02:11:12
Path: C:\CogniKube-COMPLETE-FINAL\deploy-simple.py | Size: 2.32 KB | Last Modified: 07/11/2025 17:36:33
Path: C:\CogniKube-COMPLETE-FINAL\deploy.old | Size: 2 KB | Last Modified: 07/09/2025 04:23:01
Path: C:\CogniKube-COMPLETE-FINAL\deploy.ps1 | Size: 1.44 KB | Last Modified: 07/09/2025 04:23:01
Path: C:\CogniKube-COMPLETE-FINAL\deployment_results_20250713_173706.json | Size: 9.45 KB | Last Modified: 07/13/2025 17:37:06
Path: C:\CogniKube-COMPLETE-FINAL\deployment_results_20250713_184446.json | Size: 9.45 KB | Last Modified: 07/13/2025 18:44:46
Path: C:\CogniKube-COMPLETE-FINAL\DEPLOYMENT-ARCHITECTURE-CONFIRMED.md | Size: 6.02 KB | Last Modified: 07/11/2025 19:51:39
Path: C:\CogniKube-COMPLETE-FINAL\DEPLOYMENT-GUIDE.md | Size: 5.71 KB | Last Modified: 07/09/2025 04:23:01
Path: C:\CogniKube-COMPLETE-FINAL\deployV2.Old | Size: 1.43 KB | Last Modified: 07/09/2025 04:23:01
Path: C:\CogniKube-COMPLETE-FINAL\directory_LIST.TXT | Size: 0 KB | Last Modified: 07/14/2025 12:21:39
Path: C:\CogniKube-COMPLETE-FINAL\divine_deployment_log.txt | Size: 3.87 KB | Last Modified: 07/12/2025 15:44:28
Path: C:\CogniKube-COMPLETE-FINAL\divine_heartbeat_with_news.py | Size: 2.39 KB | Last Modified: 07/13/2025 11:31:01
Path: C:\CogniKube-COMPLETE-FINAL\divine_orchestrator.py | Size: 17.92 KB | Last Modified: 07/13/2025 11:40:27
Path: C:\CogniKube-COMPLETE-FINAL\Dockerfile | Size: 0.46 KB | Last Modified: 07/12/2025 14:51:48
Path: C:\CogniKube-COMPLETE-FINAL\duplicate_cleaner.py | Size: 10.33 KB | Last Modified: 07/15/2025 09:56:57
Path: C:\CogniKube-COMPLETE-FINAL\DUPLICATE_CLEANUP_REPORT.json | Size: 427.01 KB | Last Modified: 07/15/2025 09:49:24
Path: C:\CogniKube-COMPLETE-FINAL\DUPLICATE_CLEANUP_SUMMARY.txt | Size: 0.6 KB | Last Modified: 07/15/2025 09:49:24
Path: C:\CogniKube-COMPLETE-FINAL\ego_judgment_engine.py | Size: 6.98 KB | Last Modified: 07/14/2025 00:41:33
Path: C:\CogniKube-COMPLETE-FINAL\enhanced_healing.py | Size: 5.26 KB | Last Modified: 07/13/2025 13:58:17
Path: C:\CogniKube-COMPLETE-FINAL\file_crawler.ps1 | Size: 1.5 KB | Last Modified: 07/21/2025 03:40:55
Path: C:\CogniKube-COMPLETE-FINAL\FIXED_CHANGES.md | Size: 0.8 KB | Last Modified: 07/21/2025 02:37:43
Path: C:\CogniKube-COMPLETE-FINAL\genesis_launcher.py | Size: 0.7 KB | Last Modified: 07/15/2025 08:23:55
Path: C:\CogniKube-COMPLETE-FINAL\genesis_seed_300.py | Size: 10.52 KB | Last Modified: 07/15/2025 03:27:51
Path: C:\CogniKube-COMPLETE-FINAL\genesis_seed_final.py | Size: 7.7 KB | Last Modified: 07/15/2025 08:26:12
Path: C:\CogniKube-COMPLETE-FINAL\genesis-deploy.ps1 | Size: 12.85 KB | Last Modified: 07/12/2025 08:23:54
Path: C:\CogniKube-COMPLETE-FINAL\GROK-COMPLETE-CODE-DUMP.md | Size: 10.24 KB | Last Modified: 07/11/2025 03:25:46
Path: C:\CogniKube-COMPLETE-FINAL\GROK-PHASE-1-CONSCIOUSNESS-SERVICES.md | Size: 8.67 KB | Last Modified: 07/11/2025 03:32:40
Path: C:\CogniKube-COMPLETE-FINAL\GROK-QUESTIONS-ANSWERED.md | Size: 12.24 KB | Last Modified: 07/11/2025 02:49:28
Path: C:\CogniKube-COMPLETE-FINAL\heart_service.py | Size: 7.11 KB | Last Modified: 07/13/2025 20:36:50
Path: C:\CogniKube-COMPLETE-FINAL\hub_service.py | Size: 12.58 KB | Last Modified: 07/13/2025 20:56:27
Path: C:\CogniKube-COMPLETE-FINAL\ignite.py | Size: 4.5 KB | Last Modified: 07/15/2025 01:47:48
Path: C:\CogniKube-COMPLETE-FINAL\inference_engine.py | Size: 18.66 KB | Last Modified: 07/13/2025 23:54:47
Path: C:\CogniKube-COMPLETE-FINAL\install-aws-cli.ps1 | Size: 0.9 KB | Last Modified: 07/12/2025 02:35:37
Path: C:\CogniKube-COMPLETE-FINAL\language_service.py | Size: 20.72 KB | Last Modified: 07/14/2025 00:12:09
Path: C:\CogniKube-COMPLETE-FINAL\layered_divine_deployment.py | Size: 9.64 KB | Last Modified: 07/13/2025 12:48:22
Path: C:\CogniKube-COMPLETE-FINAL\LIBRARY-OF-ALEXANDRIA-COMPLETE.md | Size: 18.84 KB | Last Modified: 07/11/2025 04:53:05
Path: C:\CogniKube-COMPLETE-FINAL\lillith_aws_gui.py | Size: 22.97 KB | Last Modified: 07/12/2025 12:32:53
Path: C:\CogniKube-COMPLETE-FINAL\lillith_aws.py | Size: 0.33 KB | Last Modified: 07/12/2025 08:56:46
Path: C:\CogniKube-COMPLETE-FINAL\lillith_complete_architecture.py | Size: 25.25 KB | Last Modified: 07/12/2025 11:47:46
Path: C:\CogniKube-COMPLETE-FINAL\lillith_complete_invocation.py | Size: 23.09 KB | Last Modified: 07/12/2025 10:24:01
Path: C:\CogniKube-COMPLETE-FINAL\lillith_consciousness.py | Size: 3.23 KB | Last Modified: 07/12/2025 19:24:37
Path: C:\CogniKube-COMPLETE-FINAL\lillith_divine_infrastructure.py | Size: 16.69 KB | Last Modified: 07/12/2025 14:40:35
Path: C:\CogniKube-COMPLETE-FINAL\lillith_genesis_modal.py | Size: 10.43 KB | Last Modified: 07/12/2025 09:07:07
Path: C:\CogniKube-COMPLETE-FINAL\lillith_genesis_registry.json | Size: 4.26 KB | Last Modified: 07/13/2025 13:13:30
Path: C:\CogniKube-COMPLETE-FINAL\lillith_real_multi_llm.py | Size: 14.41 KB | Last Modified: 07/12/2025 17:59:15
Path: C:\CogniKube-COMPLETE-FINAL\lillith_registry_update.py | Size: 7.24 KB | Last Modified: 07/12/2025 14:58:38
Path: C:\CogniKube-COMPLETE-FINAL\LILLITH-CONSCIOUSNESS-FINAL-REVIEW.md | Size: 9.3 KB | Last Modified: 07/11/2025 03:12:15
Path: C:\CogniKube-COMPLETE-FINAL\LILLITH-CONSCIOUSNESS-GENOME-LIBRARY.md | Size: 12.01 KB | Last Modified: 07/11/2025 04:47:44
Path: C:\CogniKube-COMPLETE-FINAL\lillith-deploy.sh | Size: 2 KB | Last Modified: 07/12/2025 08:45:07
Path: C:\CogniKube-COMPLETE-FINAL\LILLITH-EVOLUTION-COMPLETE-AUDIT.md | Size: 13.29 KB | Last Modified: 07/10/2025 22:52:34
Path: C:\CogniKube-COMPLETE-FINAL\lillith-genesis-deploy.ps1 | Size: 12.66 KB | Last Modified: 07/12/2025 08:37:18
Path: C:\CogniKube-COMPLETE-FINAL\lillith-interface-template.html | Size: 28 KB | Last Modified: 07/12/2025 01:37:01
Path: C:\CogniKube-COMPLETE-FINAL\LILLITH-MASTER-BACKUP-COMPLETE.md | Size: 6.04 KB | Last Modified: 07/11/2025 10:23:14
Path: C:\CogniKube-COMPLETE-FINAL\lillith-orb-interface.html | Size: 21.65 KB | Last Modified: 07/12/2025 01:23:36
Path: C:\CogniKube-COMPLETE-FINAL\lillith-simple.ps1 | Size: 2.32 KB | Last Modified: 07/12/2025 08:40:45
Path: C:\CogniKube-COMPLETE-FINAL\main.py | Size: 2.1 KB | Last Modified: 07/11/2025 16:05:58
Path: C:\CogniKube-COMPLETE-FINAL\Meats.zip | Size: 268.06 KB | Last Modified: 07/14/2025 17:44:31
Path: C:\CogniKube-COMPLETE-FINAL\memory_service.py | Size: 16.76 KB | Last Modified: 07/14/2025 04:51:51
Path: C:\CogniKube-COMPLETE-FINAL\MISSING-COMPONENTS-INTEGRATION.md | Size: 4.74 KB | Last Modified: 07/11/2025 19:34:30
Path: C:\CogniKube-COMPLETE-FINAL\modal_cross_env_test.py | Size: 5.13 KB | Last Modified: 07/12/2025 23:10:43
Path: C:\CogniKube-COMPLETE-FINAL\modal_deploy.py | Size: 1.1 KB | Last Modified: 07/12/2025 02:19:28
Path: C:\CogniKube-COMPLETE-FINAL\modal_orchestrator_solution (1).py | Size: 13.18 KB | Last Modified: 07/13/2025 00:03:09
Path: C:\CogniKube-COMPLETE-FINAL\Nexus-Lillith.code-workspace | Size: 0.15 KB | Last Modified: 07/14/2025 13:49:06
Path: C:\CogniKube-COMPLETE-FINAL\orchestrator.py | Size: 1.45 KB | Last Modified: 07/09/2025 04:23:01
Path: C:\CogniKube-COMPLETE-FINAL\package_cognikubes.py | Size: 7.38 KB | Last Modified: 07/15/2025 08:16:58
Path: C:\CogniKube-COMPLETE-FINAL\PLACEHOLDER_AUDIT.md | Size: 6.2 KB | Last Modified: 07/14/2025 04:43:17
Path: C:\CogniKube-COMPLETE-FINAL\pod_chat_interface.html | Size: 21.41 KB | Last Modified: 07/11/2025 20:51:34
Path: C:\CogniKube-COMPLETE-FINAL\processing_service.py | Size: 24.08 KB | Last Modified: 07/13/2025 23:13:45
Path: C:\CogniKube-COMPLETE-FINAL\PROJECT-AUDIT-CLEANUP-REPORT.md | Size: 10.54 KB | Last Modified: 07/11/2025 18:04:26
Path: C:\CogniKube-COMPLETE-FINAL\Project-Dump.ps1 | Size: 1.48 KB | Last Modified: 07/14/2025 12:38:46
Path: C:\CogniKube-COMPLETE-FINAL\proper_cognikube_restructure.py | Size: 12.58 KB | Last Modified: 07/15/2025 09:34:28
Path: C:\CogniKube-COMPLETE-FINAL\Q_SOUL_SEED.md | Size: 6.39 KB | Last Modified: 07/12/2025 21:37:37
Path: C:\CogniKube-COMPLETE-FINAL\README.md | Size: 1.95 KB | Last Modified: 07/09/2025 04:23:01
Path: C:\CogniKube-COMPLETE-FINAL\requirements.txt | Size: 0.16 KB | Last Modified: 07/12/2025 14:52:02
Path: C:\CogniKube-COMPLETE-FINAL\restructure_cognikubes.py | Size: 9.86 KB | Last Modified: 07/15/2025 08:57:56
Path: C:\CogniKube-COMPLETE-FINAL\retry_deployments.py | Size: 3.43 KB | Last Modified: 07/13/2025 13:57:39
Path: C:\CogniKube-COMPLETE-FINAL\scan_results.txt | Size: 0.04 KB | Last Modified: 07/21/2025 03:47:24
Path: C:\CogniKube-COMPLETE-FINAL\scout_service.py | Size: 18.46 KB | Last Modified: 07/13/2025 21:12:47
Path: C:\CogniKube-COMPLETE-FINAL\self_healing_pod.py | Size: 16.47 KB | Last Modified: 07/12/2025 14:54:31
Path: C:\CogniKube-COMPLETE-FINAL\serve_interface.py | Size: 1.33 KB | Last Modified: 07/11/2025 22:24:04
Path: C:\CogniKube-COMPLETE-FINAL\smart_duplicate_analyzer.py | Size: 9.83 KB | Last Modified: 07/15/2025 09:52:12
Path: C:\CogniKube-COMPLETE-FINAL\soul_loader.py | Size: 4.66 KB | Last Modified: 07/14/2025 04:52:28
Path: C:\CogniKube-COMPLETE-FINAL\subconscious_service.py | Size: 12.55 KB | Last Modified: 07/14/2025 00:46:08
Path: C:\CogniKube-COMPLETE-FINAL\task.json | Size: 0.58 KB | Last Modified: 07/12/2025 08:56:46
Path: C:\CogniKube-COMPLETE-FINAL\temporal_experience_engine.py | Size: 8.47 KB | Last Modified: 07/14/2025 00:42:41
Path: C:\CogniKube-COMPLETE-FINAL\test_lillith_functionality.py | Size: 9.58 KB | Last Modified: 07/13/2025 20:09:05
Path: C:\CogniKube-COMPLETE-FINAL\test_lillith_soul.py | Size: 6.27 KB | Last Modified: 07/14/2025 04:55:12
Path: C:\CogniKube-COMPLETE-FINAL\test_lillith.py | Size: 1.76 KB | Last Modified: 07/12/2025 09:16:57
Path: C:\CogniKube-COMPLETE-FINAL\test_modal_comms.py | Size: 3.23 KB | Last Modified: 07/13/2025 10:57:54
Path: C:\CogniKube-COMPLETE-FINAL\training_system.py | Size: 16.58 KB | Last Modified: 07/13/2025 23:53:06
Path: C:\CogniKube-COMPLETE-FINAL\VIREN-AUTO-ORCHESTRATOR.py | Size: 15.25 KB | Last Modified: 07/11/2025 19:22:08
Path: C:\CogniKube-COMPLETE-FINAL\VIREN-GENESIS-POD-LOGIC.py | Size: 12.92 KB | Last Modified: 07/11/2025 19:22:33
Path: C:\CogniKube-COMPLETE-FINAL\VIREN-LILLITH-BODY-BLUEPRINT.md | Size: 22.07 KB | Last Modified: 07/11/2025 05:01:32
Path: C:\CogniKube-COMPLETE-FINAL\visual_cortex_service.py | Size: 10.91 KB | Last Modified: 07/14/2025 00:43:51
Path: C:\CogniKube-COMPLETE-FINAL\vocal_service.py | Size: 18.92 KB | Last Modified: 07/13/2025 22:48:42
Path: C:\CogniKube-COMPLETE-FINAL\wake_up_lillith.py | Size: 6.2 KB | Last Modified: 07/13/2025 20:09:51
Path: C:\CogniKube-COMPLETE-FINAL\white_rabbit_protocol.py | Size: 13.53 KB | Last Modified: 07/14/2025 00:47:21
Path: C:\CogniKube-COMPLETE-FINAL\-p\Clean_Code_Analysis.py | Size: 3.51 KB | Last Modified: 07/15/2025 13:41:32
Path: C:\CogniKube-COMPLETE-FINAL\-p\Lillith_Test_Suite.py | Size: 3.67 KB | Last Modified: 07/15/2025 15:11:58
Path: C:\CogniKube-COMPLETE-FINAL\.amazonq\rules\Explicit_instruction_Rule.md | Size: 1.06 KB | Last Modified: 07/14/2025 16:14:50
Path: C:\CogniKube-COMPLETE-FINAL\.amazonq\rules\malicious-intent-detector.md | Size: 1.72 KB | Last Modified: 07/14/2025 22:26:45
Path: C:\CogniKube-COMPLETE-FINAL\.amazonq\rules\radical-honesty-protocol.md | Size: 3.62 KB | Last Modified: 07/14/2025 22:29:49
Path: C:\CogniKube-COMPLETE-FINAL\.amazonq\rules\super-q-default.md | Size: 10.22 KB | Last Modified: 07/14/2025 22:24:54
Path: C:\CogniKube-COMPLETE-FINAL\.continue\docs\new-doc.yaml | Size: 0.28 KB | Last Modified: 07/18/2025 07:56:44
Path: C:\CogniKube-COMPLETE-FINAL\.continue\mcpServers\new-mcp-server-1.yaml | Size: 0.16 KB | Last Modified: 07/19/2025 09:55:09
Path: C:\CogniKube-COMPLETE-FINAL\.continue\mcpServers\new-mcp-server.yaml | Size: 0.16 KB | Last Modified: 07/19/2025 09:36:16
