Medium,Frequency_Label,Frequency_Hz,eps_r,sigma_S_per_m,mu_r,alpha_Np_per_m,alpha_dB_per_m,beta_rad_per_m,phase_velocity_m_per_s,skin_depth_m,intrinsic_impedance_ohm
EARTH/granite,60 Hz,60.0,5.5,1e-06,1.0,1.5249976371196244e-05,0.00013246129476021057,1.5532516238749024e-05,24271091.215104867,65573.87209391182,21.763758772900204
EARTH/granite,1 kHz,1000.0,5.5,1e-06,1.0,5.404217141149211e-05,0.0004694103008802205,7.305113131698166e-05,86010787.15558481,18504.06772862108,86.89163253072863
EARTH/granite,100 kHz,100000.0,5.5,1e-06,1.0,8.030845396140158e-05,0.0006975592311087341,0.004915848289562618,127814874.20024967,12451.989182616155,160.59547902008472
EARTH/granite,2.4 GHz,2400000000.0,5.5,1e-06,1.0,8.031917270290456e-05,0.0006976523340974291,117.96461425334311,127831933.6071889,12450.327441729703,160.63834540577187
AIR (20°C),60 Hz,60.0,1.0006,1e-14,1.0,1.8830867260024326e-12,1.635649130205713e-11,1.2578842087055242e-06,299702560.7140206,531042987129.37146,376.61734520006445
AIR (20°C),1 kHz,1000.0,1.0006,1e-14,1.0,1.883086726004535e-12,1.635649130207539e-11,2.0964736811735327e-05,299702560.7143553,531042987128.77856,376.6173452009055
AIR (20°C),100 kHz,100000.0,1.0006,1e-14,1.0,1.8830867260045425e-12,1.6356491302075457e-11,0.002096473681173524,299702560.71435654,531042987128.7764,376.6173452009085
AIR (20°C),2.4 GHz,2400000000.0,1.0006,1e-14,1.0,1.8830867260045425e-12,1.6356491302075457e-11,50.31536834816458,299702560.7143565,531042987128.7764,376.6173452009085
FIRE (hot air ~1500 K),60 Hz,60.0,1.0,0.0001,1.0,0.0001539034109884064,0.0013368050278452978,0.00015390854829331116,2449448.8617508397,6497.58178573008,2.1765592364747857
FIRE (hot air ~1500 K),1 kHz,1000.0,1.0,0.0001,1.0,0.0006281437803704918,0.005456056876298092,0.0006284933296811802,9997218.761839362,1591.9922018652799,8.885765188786202
FIRE (hot air ~1500 K),100 kHz,100000.0,1.0,0.0001,1.0,0.0061109066098683764,0.05307933481331672,0.006460320886037524,97258099.37334885,163.64183972065956,88.78903838210327
FIRE (hot air ~1500 K),2.4 GHz,2400000000.0,1.0,0.0001,1.0,0.01883651435230758,0.16361396366414366,50.30028405380141,299792436.9791182,53.088378311218406,376.7302606305381
"WATER (fresh, 20°C)",60 Hz,60.0,80.0,0.005,1.0,0.0010882505579434718,0.009452544346296997,0.0010883086799136224,346400.9112384332,918.9060301423195,0.3078119590193521
"WATER (fresh, 20°C)",1 kHz,1000.0,80.0,0.005,1.0,0.004440906028793643,0.03857370976610158,0.004444860727562119,1413584.2925782145,225.1792750209683,1.2566368125233525
"WATER (fresh, 20°C)",100 kHz,100000.0,80.0,0.005,1.0,0.04249732486143562,0.3691317637464298,0.0464481208324036,13527318.639759151,23.530892903507304,12.541601878355827
"WATER (fresh, 20°C)",2.4 GHz,2400000000.0,80.0,0.005,1.0,0.10529932087652827,0.9146299011335245,449.899398503992,33517814.843438167,9.49673741175006,42.119727196956546
