Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 📚,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
8/15/2024,8/17/2024,405,405.0,405.0,NousResearch/Hermes-3-Llama-3.1-405B,https://huggingface.co/NousResearch/Hermes-3-Llama-3.1-405B,66.73,6.363636364,8.812585635,65.8,66.0,58.1,57.1,86.7,0.383,0.709,0.30,7.32,8.02,1.84,0.556,1.40,0.38,0.96,0
10/23/2024,11/30/2024,123,123.0,123.0,MarsupialAI/Monstral-123B,https://huggingface.co/MarsupialAI/Monstral-123B,62.93,10,5.396969579,91.7,37.9,60.3,53.5,71.3,0.491,0.350,0.75,8.82,9.45,1.31,0.125,2.27,-0.01,1.61,0
10/21/2024,11/27/2024,123,123.0,123.0,TheDrummer/Behemoth-123B-v1.1,https://huggingface.co/TheDrummer/Behemoth-123B-v1.1,60.18,9.090909091,5.853295261,83.3,37.9,51.8,50.5,77.3,0.279,0.323,0.45,9.99,7.79,1.67,0.185,2.13,0.11,2.17,0
8/29/2024,8/29/2024,123,123.0,123.0,FluffyKaeloky/Luminum-v0.1-123B,https://huggingface.co/FluffyKaeloky/Luminum-v0.1-123B,60.12,9.090909091,6.519961928,83.3,42.4,59.5,51.4,64.0,0.125,0.370,0.10,9.23,8.65,1.58,0.239,2.20,0.28,1.95,0
10/8/2024,10/9/2024,123,123.0,123.0,TheDrummer/Behemoth-123B-v1,https://huggingface.co/TheDrummer/Behemoth-123B-v1,59.94,9.090909091,5.730302913,79.2,32.9,58.9,58.0,70.7,0.554,0.462,0.65,9.42,10.01,1.42,0.070,2.73,-0.03,2.29,0
9/8/2024,10/9/2024,123,123.0,123.0,schnapper79/lumikabra-123B_v0.4,https://huggingface.co/schnapper79/lumikabra-123B_v0.4,59.57,7.727272727,6.456088688,85.4,32.4,48.7,54.0,77.3,0.311,0.389,0.30,7.47,8.29,1.33,0.037,2.67,-0.25,1.93,0
8/3/2024,8/8/2024,405,405.0,405.0,migtissera/Tess-3-Llama-3.1-405B,https://huggingface.co/migtissera/Tess-3-Llama-3.1-405B,58.35,6.363636364,8.585381661,75.0,54.4,44.2,55.8,62.3,0.149,0.388,0.10,7.72,7.26,1.65,0.000,NA,NA,NA,0
11/30/2024,12/1/2024,123,123.0,123.0,TheDrummer/Behemoth-123B-v1.2,https://huggingface.co/TheDrummer/Behemoth-123B-v1.2,58.05,9.090909091,4.687734102,83.3,34.9,48.8,45.9,77.3,0.579,0.468,0.70,7.34,8.02,1.86,0.065,2.53,-0.11,2.17,0
7/9/2024,8/16/2024,70,70.0,70.0,juvi21/Hermes-2-Theta-L3-Euryale-Ties-0.8-70B,https://huggingface.co/juvi21/Hermes-2-Theta-L3-Euryale-Ties-0.8-70B,56.28,9.090909091,6.341414024,70.8,41.9,50.9,49.8,68.0,0.273,0.409,0.20,5.87,7.54,1.26,0.091,2.47,0.02,1.00,0
6/14/2024,,70,70.0,70.0,Sao10K/L3-70B-Euryale-v2.1,https://huggingface.co/Sao10K/L3-70B-Euryale-v2.1,55.44,9.090909091,6.341414024,66.7,42.0,50.9,55.7,62.0,0.346,0.395,0.35,5.66,6.37,1.91,0.267,2.13,0.29,1.19,0
